x,y,z,dx,dy,dz,id,tonnes,grade,density,lithology,ore_type
35,35,85,10,10,10,1001,2380,0.62,2.38,"CLAY, WEATHERED",Waste
45,35,85,10,10,10,1002,2455,1.13,2.46,DIORITE,Low grade
55,35,85,10,10,10,1003,2530,1.53,2.53,SHALE,Low grade
65,35,85,10,10,10,1004,2605,1.65,2.60,BRECCIA,Ore
75,35,85,10,10,10,1005,2680,1.47,2.68,BASALT,Low grade
85,35,85,10,10,10,1006,2380,1.10,2.38,DIORITE,Low grade
95,35,85,10,10,10,1007,2455,0.74,2.46,SHALE,Waste
105,35,85,10,10,10,1008,2530,0.54,2.53,"CLAY, WEATHERED",Waste
35,45,85,10,10,10,1009,2530,1.03,2.53,DIORITE,Low grade
45,45,85,10,10,10,1010,2605,1.62,2.60,SHALE,Ore
55,45,85,10,10,10,1011,2680,2.07,2.68,BASALT,Ore
65,45,85,10,10,10,1012,2380,2.22,2.38,BRECCIA,Ore
75,45,85,10,10,10,1013,2455,2.06,2.46,DIORITE,Ore
85,45,85,10,10,10,1014,2530,1.69,2.53,SHALE,Ore
95,45,85,10,10,10,1015,2605,1.29,2.60,"CLAY, WEATHERED",Low grade
105,45,85,10,10,10,1016,2680,1.00,2.68,BRECCIA,Low grade
35,55,85,10,10,10,1017,2680,1.37,2.68,BASALT,Low grade
45,55,85,10,10,10,1018,2380,2.00,2.38,BRECCIA,Ore
55,55,85,10,10,10,1019,2455,2.49,2.46,BRECCIA,Ore
65,55,85,10,10,10,1020,2530,2.72,2.53,DIORITE,Ore
75,55,85,10,10,10,1021,2605,2.64,2.60,BASALT,Ore
85,55,85,10,10,10,1022,2680,2.31,2.68,"CLAY, WEATHERED",Ore
95,55,85,10,10,10,1023,2380,1.87,2.38,BRECCIA,Ore
105,55,85,10,10,10,1024,2455,1.45,2.46,DIORITE,Low grade
35,65,85,10,10,10,1025,2455,1.53,2.46,BRECCIA,Low grade
45,65,85,10,10,10,1026,2530,2.12,2.53,BRECCIA,Ore
55,65,85,10,10,10,1027,2605,2.63,2.60,BASALT,Ore
65,65,85,10,10,10,1028,2680,2.95,2.68,SHALE,Ore
75,65,85,10,10,10,1029,2380,2.99,2.38,"CLAY, WEATHERED",Ore
85,65,85,10,10,10,1030,2455,2.73,2.46,BRECCIA,Ore
95,65,85,10,10,10,1031,2530,2.28,2.53,BASALT,Ore
105,65,85,10,10,10,1032,2605,1.74,2.60,SHALE,Ore
35,75,85,10,10,10,1033,2605,1.44,2.60,BASALT,Low grade
45,75,85,10,10,10,1034,2680,1.91,2.68,DIORITE,Ore
55,75,85,10,10,10,1035,2380,2.40,2.38,SHALE,Ore
65,75,85,10,10,10,1036,2455,2.79,2.46,"CLAY, WEATHERED",Ore
75,75,85,10,10,10,1037,2530,2.96,2.53,BASALT,Ore
85,75,85,10,10,10,1038,2605,2.80,2.60,DIORITE,Ore
95,75,85,10,10,10,1039,2680,2.36,2.68,SHALE,Ore
105,75,85,10,10,10,1040,2380,1.75,2.38,BRECCIA,Ore
35,85,85,10,10,10,1041,2380,1.13,2.38,DIORITE,Low grade
45,85,85,10,10,10,1042,2455,1.46,2.46,SHALE,Low grade
55,85,85,10,10,10,1043,2530,1.88,2.53,"CLAY, WEATHERED",Ore
65,85,85,10,10,10,1044,2605,2.31,2.60,BRECCIA,Ore
75,85,85,10,10,10,1045,2680,2.56,2.68,DIORITE,Ore
85,85,85,10,10,10,1046,2380,2.50,2.38,SHALE,Ore
95,85,85,10,10,10,1047,2455,2.10,2.46,BASALT,Ore
105,85,85,10,10,10,1048,2530,1.49,2.53,BRECCIA,Low grade
35,95,85,10,10,10,1049,2530,0.72,2.53,BASALT,Waste
45,95,85,10,10,10,1050,2605,0.92,2.60,"CLAY, WEATHERED",Low grade
55,95,85,10,10,10,1051,2680,1.28,2.68,BRECCIA,Low grade
65,95,85,10,10,10,1052,2380,1.71,2.38,DIORITE,Ore
75,95,85,10,10,10,1053,2455,1.99,2.46,BASALT,Ore
85,95,85,10,10,10,1054,2530,1.97,2.53,BRECCIA,Ore
95,95,85,10,10,10,1055,2605,1.62,2.60,BRECCIA,Ore
105,95,85,10,10,10,1056,2680,1.07,2.68,DIORITE,Low grade
35,105,85,10,10,10,1057,2680,0.34,2.68,"CLAY, WEATHERED",Waste
45,105,85,10,10,10,1058,2380,0.47,2.38,BRECCIA,Waste
55,105,85,10,10,10,1059,2455,0.79,2.46,BASALT,Low grade
65,105,85,10,10,10,1060,2530,1.18,2.53,SHALE,Low grade
75,105,85,10,10,10,1061,2605,1.43,2.60,BRECCIA,Low grade
85,105,85,10,10,10,1062,2680,1.40,2.68,BRECCIA,Low grade
95,105,85,10,10,10,1063,2380,1.08,2.38,BASALT,Low grade
105,105,85,10,10,10,1064,2455,0.61,2.46,"CLAY, WEATHERED",Waste
35,35,75,10,10,10,1065,2455,1.12,2.46,DIORITE,Low grade
45,35,75,10,10,10,1066,2530,1.46,2.53,SHALE,Low grade
55,35,75,10,10,10,1067,2605,1.63,2.60,BRECCIA,Ore
65,35,75,10,10,10,1068,2680,1.62,2.68,BASALT,Ore
75,35,75,10,10,10,1069,2380,1.48,2.38,DIORITE,Low grade
85,35,75,10,10,10,1070,2455,1.29,2.46,SHALE,Low grade
95,35,75,10,10,10,1071,2530,1.15,2.53,BRECCIA,Low grade
105,35,75,10,10,10,1072,2605,1.08,2.60,BASALT,Low grade
35,45,75,10,10,10,1073,2605,1.42,2.60,SHALE,Low grade
45,45,75,10,10,10,1074,2680,1.79,2.68,BASALT,Ore
55,45,75,10,10,10,1075,2380,2.06,2.38,BRECCIA,Ore
65,45,75,10,10,10,1076,2455,2.20,2.46,DIORITE,Ore
75,45,75,10,10,10,1077,2530,2.18,2.53,SHALE,Ore
85,45,75,10,10,10,1078,2605,2.03,2.60,BASALT,Ore
95,45,75,10,10,10,1079,2680,1.80,2.68,BRECCIA,Ore
105,45,75,10,10,10,1080,2380,1.52,2.38,DIORITE,Low grade
35,55,75,10,10,10,1081,2380,1.61,2.38,BRECCIA,Ore
45,55,75,10,10,10,1082,2455,2.04,2.46,BRECCIA,Ore
55,55,75,10,10,10,1083,2530,2.45,2.53,DIORITE,Ore
65,55,75,10,10,10,1084,2605,2.78,2.60,BASALT,Ore
75,55,75,10,10,10,1085,2680,2.91,2.68,BRECCIA,Ore
85,55,75,10,10,10,1086,2380,2.78,2.38,BRECCIA,Ore
95,55,75,10,10,10,1087,2455,2.41,2.46,DIORITE,Ore
105,55,75,10,10,10,1088,2530,1.88,2.53,BASALT,Ore
35,65,75,10,10,10,1089,2530,1.62,2.53,BRECCIA,Ore
45,65,75,10,10,10,1090,2605,2.08,2.60,BASALT,Ore
55,65,75,10,10,10,1091,2680,2.64,2.68,SHALE,Ore
65,65,75,10,10,10,1092,2380,3.15,2.38,BRECCIA,Ore
75,65,75,10,10,10,1093,2455,3.41,2.46,BRECCIA,Ore
85,65,75,10,10,10,1094,2530,3.27,2.53,BASALT,Ore
95,65,75,10,10,10,1095,2605,2.75,2.60,SHALE,Ore
105,65,75,10,10,10,1096,2680,2.02,2.68,BRECCIA,Ore
35,75,75,10,10,10,1097,2680,1.43,2.68,DIORITE,Low grade
45,75,75,10,10,10,1098,2380,1.89,2.38,SHALE,Ore
55,75,75,10,10,10,1099,2455,2.53,2.46,BRECCIA,Ore
65,75,75,10,10,10,1100,2530,3.15,2.53,BASALT,Ore
75,75,75,10,10,10,1101,2605,3.47,2.60,DIORITE,Ore
85,75,75,10,10,10,1102,2680,3.31,2.68,SHALE,Ore
95,75,75,10,10,10,1103,2380,2.71,2.38,BRECCIA,Ore
105,75,75,10,10,10,1104,2455,1.87,2.46,BASALT,Ore
35,85,75,10,10,10,1105,2455,1.09,2.46,SHALE,Low grade
45,85,75,10,10,10,1106,2530,1.53,2.53,BASALT,Low grade
55,85,75,10,10,10,1107,2605,2.17,2.60,BRECCIA,Ore
65,85,75,10,10,10,1108,2680,2.79,2.68,DIORITE,Ore
75,85,75,10,10,10,1109,2380,3.10,2.38,SHALE,Ore
85,85,75,10,10,10,1110,2455,2.91,2.46,BASALT,Ore
95,85,75,10,10,10,1111,2530,2.30,2.53,BRECCIA,Ore
105,85,75,10,10,10,1112,2605,1.50,2.60,DIORITE,Low grade
35,95,75,10,10,10,1113,2605,0.74,2.60,BRECCIA,Waste
45,95,75,10,10,10,1114,2680,1.13,2.68,BRECCIA,Low grade
55,95,75,10,10,10,1115,2380,1.71,2.38,DIORITE,Ore
65,95,75,10,10,10,1116,2455,2.24,2.46,BASALT,Ore
75,95,75,10,10,10,1117,2530,2.46,2.53,BRECCIA,Ore
85,95,75,10,10,10,1118,2605,2.24,2.60,BRECCIA,Ore
95,95,75,10,10,10,1119,2680,1.68,2.68,DIORITE,Ore
105,95,75,10,10,10,1120,2380,1.03,2.38,BASALT,Low grade
35,105,75,10,10,10,1121,2380,0.49,2.38,BRECCIA,Waste
45,105,75,10,10,10,1122,2455,0.84,2.46,BASALT,Low grade
55,105,75,10,10,10,1123,2530,1.32,2.53,SHALE,Low grade
65,105,75,10,10,10,1124,2605,1.69,2.60,BRECCIA,Ore
75,105,75,10,10,10,1125,2680,1.77,2.68,BRECCIA,Ore
85,105,75,10,10,10,1126,2380,1.51,2.38,BASALT,Low grade
95,105,75,10,10,10,1127,2455,1.05,2.46,SHALE,Low grade
105,105,75,10,10,10,1128,2530,0.61,2.53,BRECCIA,
