dhid,from,to,start_east,start_north,start_elevation,end_east,end_north,end_elevation,diameter,grade,lithology,ore_type
DH001,0,15,20,20,108.581,21.345,21.975,94.742,0.15,0.29,OXIDE,Waste
DH001,15,30,21.345,21.975,94.742,23.452,23.586,81.059,0.15,0.59,OXIDE,Waste
DH001,30,45,23.452,23.586,81.059,25.899,24.84,67.665,0.15,0.85,TRANSITION,Low grade
DH001,45,60,25.899,24.84,67.665,28.273,25.985,54.594,0.15,0.96,TRANSITION,Low grade
DH001,60,75,28.273,25.985,54.594,30.362,27.091,41.765,0.15,0.89,FRESH BASALT,Low grade
DH001,75,90,30.362,27.091,41.765,32.216,27.992,29.014,0.15,0.66,FRESH BASALT,Waste
DH001,90,105,32.216,27.992,29.014,34.024,28.475,16.15,0.15,0.42,DIORITE,Waste
DH001,105,120,34.024,28.475,16.15,35.904,28.348,3.019,0.15,0.32,FRESH BASALT,Waste
DH002,0,15,40,80,109.134,42.629,80.351,95.492,0.15,0.64,OXIDE,Waste
DH002,15,30,42.629,80.351,95.492,45.371,80.144,82.153,0.15,0.81,OXIDE,Low grade
DH002,30,45,45.371,80.144,82.153,47.987,79.821,69.131,0.15,1.01,TRANSITION,Low grade
DH002,45,60,47.987,79.821,69.131,50.342,79.617,56.328,0.15,1.27,TRANSITION,Low grade
DH002,60,75,50.342,79.617,56.328,52.393,79.413,43.571,0.15,1.48,FRESH BASALT,Low grade
DH002,75,90,52.393,79.413,43.571,54.201,78.928,30.67,0.15,1.48,DIORITE,Low grade
DH002,90,105,54.201,78.928,30.67,55.784,77.909,17.486,0.15,1.28,FRESH BASALT,Low grade
DH002,105,120,55.784,77.909,17.486,57.038,76.235,3.978,0.15,1.02,FRESH BASALT,Low grade
DH003,0,15,70,60,118.188,71.976,58.089,104.849,0.15,0.56,OXIDE,Waste
DH003,15,30,71.976,58.089,104.849,73.714,56.07,91.826,0.15,0.64,OXIDE,Waste
DH003,30,45,73.714,56.07,91.826,75.33,54.285,79.024,0.15,1.05,TRANSITION,Low grade
DH003,45,60,75.33,54.285,79.024,76.763,52.749,66.267,0.15,1.79,TRANSITION,Ore
DH003,60,75,76.763,52.749,66.267,77.886,51.232,53.366,0.15,2.48,DIORITE,Ore
DH003,75,90,77.886,51.232,53.366,78.551,49.486,40.182,0.15,2.64,FRESH BASALT,Ore
DH003,90,105,78.551,49.486,40.182,78.565,47.434,26.674,0.15,2.20,FRESH BASALT,Ore
DH003,105,120,78.565,47.434,26.674,77.872,45.186,12.915,0.15,1.45,DIORITE,Low grade
DH004,0,15,90,30,112.201,90.523,27.388,99.225,0.15,0.20,OXIDE,Waste
DH004,15,30,90.523,27.388,99.225,91.024,25.033,86.443,0.15,0.43,OXIDE,Waste
DH004,30,45,91.024,25.033,86.443,91.516,22.991,73.675,0.15,1.14,TRANSITION,Low grade
DH004,45,60,91.516,22.991,73.675,91.801,21.125,60.734,0.15,2.16,TRANSITION,Ore
DH004,60,75,91.801,21.125,60.734,91.62,19.265,47.496,0.15,2.93,FRESH BASALT,Ore
DH004,75,90,91.62,19.265,47.496,90.731,17.415,33.938,0.15,2.94,FRESH BASALT,Ore
DH004,90,105,90.731,17.415,33.938,89.089,15.731,20.151,0.15,2.20,DIORITE,Ore
DH004,105,120,89.089,15.731,20.151,86.939,14.219,6.305,0.15,1.19,FRESH BASALT,Low grade
DH005,0,15,110,100,112.607,108.639,97.962,99.825,0.15,0.10,OXIDE,Waste
DH005,15,30,108.639,97.962,99.825,107.516,96.137,87.057,0.15,0.50,OXIDE,Waste
DH005,30,45,107.516,96.137,87.057,106.449,94.556,74.116,0.15,1.17,TRANSITION,Low grade
DH005,45,60,106.449,94.556,74.116,105.122,93.256,60.878,0.15,1.87,TRANSITION,Ore
DH005,60,75,105.122,93.256,60.878,103.3,92.393,47.32,0.15,2.22,FRESH BASALT,Ore
DH005,75,90,103.3,92.393,47.32,101.003,92.172,33.533,0.15,1.99,DIORITE,Ore
DH005,90,105,101.003,92.172,33.533,98.432,92.528,19.687,0.15,1.31,FRESH BASALT,Low grade
DH005,105,120,98.432,92.528,19.687,95.746,93.093,5.972,0.15,0.62,FRESH BASALT,Waste
DH006,0,15,120,60,113.149,117.869,59.515,100.381,0.15,0.37,OXIDE,Waste
DH006,15,30,117.869,59.515,100.381,115.983,59.099,87.44,0.15,0.66,OXIDE,Waste
DH006,30,45,115.983,59.099,87.44,114.135,58.979,74.202,0.15,0.90,TRANSITION,Low grade
DH006,45,60,114.135,58.979,74.202,112.209,59.449,60.644,0.15,1.02,TRANSITION,Low grade
DH006,60,75,112.209,59.449,60.644,110.337,60.719,46.857,0.15,0.97,DIORITE,Low grade
DH006,75,90,110.337,60.719,46.857,108.691,62.681,33.011,0.15,0.77,FRESH BASALT,Low grade
DH006,90,105,108.691,62.681,33.011,107.188,64.967,19.296,0.15,0.53,FRESH BASALT,Waste
DH006,105,120,107.188,64.967,19.296,105.671,67.207,5.858,0.15,0.43,DIORITE,Waste
